Name,Abbr.,Division,Established,Native,Area (km2),Population_1991,Population_2001,Population_2011,Population_2022
Barguna,BRG,Barisal,1984,Barguna district,1831,805000,887376,927889,1035596
Barishal,BRS,Barisal,1797,Barisal district,2785,2299000,2465249,2414729,2634203
Bhola,BHO,Barisal,1984,Bhola district,3403,1532000,1781043,1846351,1980452
Jhalokati,JHA,Barisal,1984,Jhalakathi district,707,694000,726182,709914,677559
Patuakhali,PAT,Barisal,1969,Patuakhali district,3221,1323000,1527628,1596223,1770096
Pirojpur,PIR,Barisal,1984,Pirojpur district,1278,1104000,1161548,1157215,1227915
Bandarban,BAN,Chattogram,1981,Bandarban district,4496,246000,311741,404091,495252
Brahmanbaria,BBA,Chattogram,1984,Brahmanbaria district,1881,2268000,2509383,2953208,3403786
Chandpur,CHA,Chattogram,1984,Chandpur district,1645,2150000,2377088,2513838,2713247
Chattogram,CHI,Chattogram,1666,Chittagong District,5282,5744000,7009504,7913366,9439076
Cox's Bazar,COX,Chattogram,1984,Cox's Bazar District,2492,1502000,1856151,2381814,2906281
Cumilla,CUM,Chattogram,1790,Comilla district,3146,4264000,4807649,5602624,6394875
Feni,FEN,Chattogram,1984,Feni district,990,1158000,1297987,1496139,1697379
Khagrachhari,KHA,Chattogram,1983,Khagrachari district,2749,366000,549134,638967,735116
Lakshmipur,LAK,Chattogram,1984,Lakshmipur district,1440,1391000,1558618,1797761,1994930
Noakhali,NOA,Chattogram,1821,Noakhali district,3686,2346000,2696453,3231832,3732042
Rangamati,RGM,Chattogram,1983,Rangamati district,6116,430000,531489,620215,666627
Dhaka,DHA,Dhaka,1772,Dhaka district,1464,6164000,9151343,12517360,15210851
Faridpur,FAR,Dhaka,1815,Faridpur district,2053,1559000,1837631,1988695,2232772
Gazipur,GAZ,Dhaka,1984,Gazipur district,1806,1683000,2142179,3548115,5433538
Gopalganj,GOP,Dhaka,1984,Gopalganj district,1469,1097000,1218789,1218319,1336907
Kishoreganj,KIS,Dhaka,1984,Kishoreganj district,2689,2388000,2714721,3028706,3373219
Madaripur,MAD,Dhaka,1984,Madaripur district,1126,1106000,1199374,1212199,1334811
Manikganj,MAN,Dhaka,1984,Manikganj district,1384,1216000,1343468,1447301,1608372
Munshiganj,MUN,Dhaka,1984,Munshiganj district,1004,1229000,1353615,1502449,1677941
Narayanganj,NYG,Dhaka,1984,Narayanganj district,684,1819000,2289797,3074078,4035461
Narsingdi,NSD,Dhaka,1984,Narsingdi district,1150,1710000,1983571,2314889,2667968
Rajbari,RJB,Dhaka,1984,Rajbari district,1092,866000,996147,1091263,1228267
Shariatpur,SHA,Dhaka,1984,Shariatpur district,1174,986000,1132535,1201464,1336396
Tangail,TAN,Dhaka,1969,Tangail district,3414,3108000,3443497,3749086,4168083
Jamalpur,JAM,Mymensingh,1978,Jamalpur district,2115,1943000,2205766,2384811,2583984
Mymensingh,MYM,Mymensingh,1787,Mymensingh district,4395,4097000,4696966,5313163,6097814
Netrakona,NET,Mymensingh,1984,Netrokona district,2794,1791000,2079716,2317190,2403205
Sherpur,SHE,Mymensingh,1984,Sherpur district,1365,1179000,1338834,1412601,1552469
Bagerhat,BAG,Khulna,1984,Bagerhat district,3959,1489000,1620216,1534012,1649874
Chuadanga,CHU,Khulna,1984,Chuadanga district,1174,843000,1053936,1174836,1262205
Jessore,JES,Khulna,1781,Jessore district,2607,2193000,2586771,2876380,3146317
Jhenaidah,JHE,Khulna,1984,Jhenaidah district,1965,1420000,1653843,1842573,2051607
Khulna,KHU,Khulna,1882,Khulna district,4394,2131000,2520962,2407679,2673002
Kushtia,KUS,Khulna,1947,Kushtia district,1609,1562000,1820554,2023657,2198731
Magura,MAG,Khulna,1984,Magura district,1039,752000,862777,954804,1056683
Meherpur,MEH,Khulna,1984,Meherpur district,752,511000,618466,681331,721447
Narail,NRA,Khulna,1984,Narail district,968,682000,730568,750425,806662
Satkhira,SAT,Khulna,1984,Satkhira district,3817,1660000,1950557,2063610,2246691
Bogra,BOG,Rajshahi,1821,Bogra district,2899,2799000,3151389,3539293,3815192
Chapai Nawabganj,NAW,Rajshahi,1984,Chapainawabganj district,1703,1231000,1492192,1714249,1875290
Jaipurhat,JAI,Rajshahi,1983,Joypurhat district,1012,802000,885909,950440,977150
Naogaon,NAO,Rajshahi,1984,Naogaon district,3436,2251000,2500932,2701906,2844921
Natore,NAT,Rajshahi,1984,Natore district,1900,1455000,1591944,1774832,1900213
Pabna,PAB,Rajshahi,1832,Pabna district,2376,2017000,2278141,2624683,2972654
Rajshahi,RJS,Rajshahi,1772,Rajshahi district,2425,1988000,2410086,2699688,2978156
Sirajganj,SIR,Rajshahi,1984,Sirajganj district,2402,2374000,2818739,3220812,3430443
Dinajpur,DIN,Rangpur,1786,Dinajpur district,3444,2371000,2765797,3109626,3392251
Gaibandha,GAI,Rangpur,1984,Gaibandha district,2115,2041000,2235559,2471680,2621756
Kurigram,KUR,Rangpur,1984,Kurigram district,2245,1680000,1873185,2150974,2383268
